Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Falls under,Comment on area/Location,Classified area,Due to fenceless border I put them under,Alive/dead,Area,Movement,Sex,Human presence,link
517,margaux_safari,Margaux Mathey,Instagram,Summer,21/2/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,curled,,,https://www.instagram.com/p/zXJDd0rn0f/
518,margaux_safari,Margaux Mathey,Instagram,Autumn,26/3/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,lying on the ground,,,https://www.instagram.com/p/0s9hCsrn8A/
519,margaux_safari,Margaux Mathey,Instagram,Autumn,3/4/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,lying on the ground,,,https://www.instagram.com/p/1ACRY-Ln6l/
520,margaux_safari,Margaux Mathey,Instagram,Autumn,28/5/2015,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking and sniffing human presence,,yes,https://www.instagram.com/p/3O1OMErn5R/
521,margaux_safari,Margaux Mathey,Instagram,Spring,14/9/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/7nD2f7Ln18/
522,margaux_safari,Margaux Mathey,Instagram,Spring,24/10/2015,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,curled,,,https://www.instagram.com/p/9Osmyhrn7x/
523,rudi_onsafari,Rudi Venter,Instagram,Summer,18/12/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BOLDc64BDGR/
524,rudi_onsafari,Rudi Venter,Instagram,Summer,31/1/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,feasting on ants,,yes,https://www.instagram.com/p/BP65QQyhmm-/
525,rudi_onsafari,Rudi Venter,Instagram,Autumn,21/5/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,lying on the ground,baby pangolin,yes,https://www.instagram.com/p/BUWJ6xcDZ1T/
526,rudi_onsafari,Rudi Venter,Instagram,Autumn,30/5/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,lying on the ground,,,https://www.instagram.com/p/BUtda5Wjdla/
527,rudi_onsafari,Rudi Venter,Instagram,Winter,24/8/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,smelling ants on a camel thorn,,,https://www.instagram.com/p/BYLICg9jXgS/
528,rudi_onsafari,Rudi Venter,Instagram,Winter,29/8/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,"curled, it was rescued on an electric fence",,,https://www.instagram.com/p/BYX9_yCjZFx/
529,rudi_onsafari,Rudi Venter,Instagram,Spring,5/9/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,road,walking,,,https://www.instagram.com/p/BYpeRiEDYc9/
530,rudi_onsafari,Rudi Venter,Instagram,Spring,24/10/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,lying on the ground,,,https://www.instagram.com/p/BanztICjD1m/
531,rudi_onsafari,Rudi Venter,Instagram,Summer,10/1/2018,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/Bdw2LcKDP6P/
532,rudi_onsafari,Rudi Venter,Instagram,Summer,2/2/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking and sniffing,,,https://www.instagram.com/p/BfSHUi8jlkT/
533,rudi_onsafari,Rudi Venter,Instagram,Autumn,9/4/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BhV6QLFDt7t/
534,rudi_onsafari,Rudi Venter,Instagram,Autumn,8/5/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/BihyMSNn4Oh/
535,rudi_onsafari,Rudi Venter,Instagram,Autumn,30/5/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,feeding ants on a camel thorn ,,yes,https://www.instagram.com/p/BjZOlLCnmJm/
536,rudi_onsafari,Rudi Venter,Instagram,Spring,10/9/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,lying on the ground,,,https://www.instagram.com/p/BnivRHEBB2g/
537,rudi_onsafari,Rudi Venter,Instagram,Summer,16/2/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,yes,https://www.instagram.com/p/Bt8ZCKMA43l/
538,rudi_onsafari,Rudi Venter,Instagram,Autumn,12/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/B1DxFJpAknC/
539,rudi_onsafari,Rudi Venter,Instagram,Autumn,23/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,road,walking,young pangolin,yes,https://www.instagram.com/p/B1f7SKugx7l/
540,rudi_onsafari,Rudi Venter,Instagram,Spring,19/10/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking and digging,,,https://www.instagram.com/p/B3y5bJvgTLA/
541,tswalufoundation,Dylan Smith,Instagram,Summer,6/1/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,feeding,young pangolin,,https://www.instagram.com/p/BdlwFbMBIPV/
542,tswalufoundation,Dylan Smith,Instagram,Spring,4/10/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,uncurling,,,https://www.instagram.com/p/Bof75yVnzFj/
543,Kebquilts,Karen Buchanan,Instagram,Spring,18/10/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,curled,,,https://www.instagram.com/p/BaYfJ_Rnx09/
544,dylandavidsmith,Dylan Smith,Instagram,Spring,14/9/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,curled,female with pup ,,https://www.instagram.com/p/BZCNuRen-p2/
545,gary.parker.safari,Gary Parker,Instagram,Winter,11/8/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,dune soil,uncurling,,,https://www.instagram.com/p/BXpg8RVAICs/
546,bellinghamsafaris,Jen Bellingham,Instagram,Winter,26/6/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,yes,https://www.instagram.com/p/BHH5267jFLv/
547,shaunscroobysafari,Shaun Scroo,Instagram,Winter,4/7/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,feeding,,,https://www.instagram.com/p/BWIBq56lT2w/
548,johan_van_zyl_photography,Johan van zyl,Instagram,Summer,17/1/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,lying on the grasses,,yes,https://www.instagram.com/p/BAoJrGNreYZ/
549,johan_van_zyl_photography,Johan van zyl,Instagram,Summer,9/1/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BAVETUbLeQi/
550,johan_van_zyl_photography,Johan van zyl,Instagram,Summer,3/2/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,walking,,,https://www.instagram.com/p/BBULWlCref0/
551,johan_van_zyl_photography,Johan van zyl,Instagram,Winter,15/6/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,lying on the ground,,,https://www.instagram.com/p/BGq3Ob4Leeb/
552,johan_van_zyl_photography,Johan van zyl,Instagram,Winter,24/6/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,curling,,,https://www.instagram.com/p/BHB0PuhhT75/
553,johan_van_zyl_photography,Johan van zyl,Instagram,Winter,7/8/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,walking,,,https://www.instagram.com/p/BIy3dJzDsd9/
554,johan_van_zyl_photography,Johan van zyl,Instagram,Spring,22/10/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BL2l7buhQTv/
555,johan_van_zyl_photography,Johan van zyl,Instagram,Summer,3/1/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BOyhV0XBm5A/
556,johan_van_zyl_photography,Johan van zyl,Instagram,Autumn,6/4/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,sand dunes,walking,,yes,https://www.instagram.com/p/BSiLn5FhwwM/
557,johan_van_zyl_photography,Johan van zyl,Instagram,Autumn,25/4/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BTUSieWhKo1/
558,johan_van_zyl_photography,Johan van zyl,Instagram,Winter,1/7/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,sand dunes,walking,,,https://www.instagram.com/p/BWAx_DXBdFf/
559,johan_van_zyl_photography,Johan van zyl,Instagram,Summer,11/1/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,sand dunes,digging and feeding,,yes,https://www.instagram.com/p/Bd0H0mxB6yl/
560,johan_van_zyl_photography,Johan van zyl,Instagram,Summer,21/2/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,sand dunes,walking,,,https://www.instagram.com/p/BuKA8rrHDWc/
561,b.radlove,Brad,Instagram,Spring,21/9/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,paused,,,https://www.instagram.com/p/B-AGkzVAhrj/
562,bretthorleysafaris,Brett Horley,Instagram,Autumn,17/5/2016,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,dead,grasses,attacked by young lions,,,https://www.instagram.com/p/BFgI1HbqCVa/
563,bretthorleysafaris,Brett Horley,Instagram,Winter,31/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BIhrQzbgSBe/
564,bretthorleysafaris,Brett Horley,Instagram,Summer,29/1/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,dead,grasses,curled due to lions surrounding it,,,https://www.instagram.com/p/BP1v_o6hDjs/
565,gerardo.cg,Gerardo Ceballos,Instagram,Spring,17/9/2017,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BZKBU45BkZwqCiPgTDQe67WGysOxNcyS-Udb0E0/
566,Tswalu Kalahari,Christo,Facebook,Winter,11/7/2011,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/222348524470272/?type=3&theater
567,Tswalu Kalahari,Richard,Facebook,Winter,15/8/2011,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,walking,,,https://web.facebook.com/TswaluKalahari/photos/a.238588399512951/238589559512835/?type=3&theater
568,Tswalu Kalahari,,Facebook,Summer,18/1/2012,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,curling,,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/315859015119222/?type=3&theater
569,Tswalu Kalahari,Marco,Facebook,Winter,9/6/2012,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,sand,curling,,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/404878652883924/?type=3&theater
570,Tswalu Kalahari,Bronwyn Bredell,Facebook,Winter,7/6/2013,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,curled,,yes,https://web.facebook.com/TswaluKalahari/photos/a.559252970779824/559253044113150/?type=3&theater
571,Tswalu Kalahari,Travis Hanratty,Facebook,Summer,22/2/2014,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,lying on the ground,mom wrapping herself around her pup,female with pup,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/676086819096438/?type=3&theater
572,kylesdream,Kyle Anthony Ansell,Instagram,Winter,8/7/2019,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,curled,,yes,https://www.instagram.com/p/Bzp8wAmgU6S/
573,deepinnature,Jami van der Merwe,Instagram,Winter,7/8/2013,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,dead,grasses,"curled, attacked by a lion",,,https://www.instagram.com/p/cst-V3kuha/
574,deepinnature,Jami van der Merwe,Instagram,Spring,5/9/2013,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/d41HQ3kut6/
575,deepinnature,Jami van der Merwe,Instagram,Autumn,13/3/2014,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,dead,grasses,"curled, attacked by lion cubs",,,https://www.instagram.com/p/lfZz74kujn/
576,wenchzirra,Wench Zirra,Instagram,Summer,3/12/2013,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,curled,,,https://www.instagram.com/p/hdB0T5pU-8/
577,lederle_safaris,Lederle,Facebook,Winter,5/8/2013,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://web.facebook.com/photo?fbid=450101801755146&set=a.138230529608943
578,faffa001,Francois Pienaar,Instagram,Autumn,4/5/2015,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,paused,,,https://www.instagram.com/p/BE_tI_pomKd/
579,faffa001,Francors Prenaar,Instagram,Spring,7/11/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,walking and sniffing,,yes,https://www.instagram.com/p/BMg0MAfBtfc/
580,faffa001,Francors Prenaar,Instagram,Winter,20/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand dunes,walking,,yes,https://www.instagram.com/p/BIF5w6_AIJW/
581,faffa001,Francois Pienaar,Instagram,Spring,28/9/2017,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,uncurling and walking,,,https://www.instagram.com/p/BZkkTzEg0uU/
582,faffa001,Francois Pienaar,Instagram,Winter,23/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,paused,,,https://www.instagram.com/p/BzDzmjkgKAy/
583,reopdyke,Becky Opdyke,Instagram,Winter,30/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,under a thorn bush ,lying on the ground,,,https://www.instagram.com/p/BIfi9OCjI2u/
584,michaelaguzy,Michaela,Instagram,Spring,8/11/2013,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/gckaTHpunA/
585,mrkimjones,Kim,Instagram,Winter,10/8/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/BI75h8dg7cX/
586,mrkimjones,Kim,Instagram,Spring,7/11/2015,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/9zIhmHLI9c/
587,meganlaurelblackburn,Megan Blackburn,Instagram,Autumn,5/5/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,lying on the ground,,,https://www.instagram.com/p/BFA0X6MwZTK/
588,meganlaurelblackburn,Megan Blackburn,Instagram,Autumn,17/5/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,hiding its head,,,https://www.instagram.com/p/BFhBAKoQZcV/
589,pblewitt,Penny,Instagram,Winter,4/8/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/BIrISEog5Yz/
590,jameskydd,James Kydd,Instagram,Spring,27/9/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/BK3i4w5A7EA/
591,nixsouness,Nicky Souness,Instagram,Winter,3/7/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,curled,,,https://www.instagram.com/p/4sBI9yLRyN/
592,nixsouness,Nicky Souness,Instagram,Spring,21/9/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,yes,https://www.instagram.com/p/BKoJ1wAg3yO/
593,nixsouness,Nicky Souness,Instagram,Summer,29/11/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/BNYpBlYg2Dy/
594,nixsouness,Nicky Souness,Instagram,Autumn,1/5/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/BTjDWOZFmN5/
595,antoinemarchalphotography,Antoine Marchal,Instagram,Spring,4/10/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,lying on the ground,,,https://www.instagram.com/p/BLJt-LwjqAo/
596,antoinemarchalphotography,Antoine Marchal,Instagram,Spring,7/10/2018,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,under a black thorn ,walking,,,https://www.instagram.com/p/BooFQ2OHFXx/
597,kirstenfrostphotos,Kirsten Frost,Instagram,Spring,22/11/2018,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,yes,https://www.instagram.com/p/BqfCSfdhIlj/
598,pedro_Ifa,Pedro,Instagram,Summer,18/2/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,uncurling,,,https://www.instagram.com/p/BQpYMFghmYv/
599,matt_naturephoto,Matt Lilley,Instagram,Spring,30/9/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/B3C-Y-_h45Q/
600,matt_naturephoto,Matt Lilley,Instagram,Spring,29/11/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/B5cpPybg1-N/
601,wildpicha,Willem Tanja Dekker,Instagram,Winter,4/8/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/B0v4XEfg0DQ/
602,wildpicha,Willem Tanja Dekker,Instagram,Spring,10/10/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/B3cehgfANFL/
603,timelessafricasafaris,Kim Evans,Instagram,Spring,1/10/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,yes,https://www.instagram.com/p/B3FoueCp3e8/
604,margit.qwe,Margit Jensen,Instagram,Spring,15/9/2019,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/B2beMFCARss/
605,wyldography,Dave McEllistrum,Instagram,Winter,17/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/B1QyU5UgAUU/
606,wyldography,Dave McEllistrum,Instagram,Spring,30/11/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/B5f_4p4g5AE/
607,julianparsonsphoto,Julian Parsons,Instagram,Autumn,5/5/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,yes,https://www.instagram.com/p/BTtgmUVBWgQ/
608,julianparsonsphoto,Julian Parsons,Instagram,Spring,19/9/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BZODRtWBtAq/
609,julianparsonsphoto,Julian Parsons,Instagram,Spring,24/9/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,feeding and scratching the bark of a grey camel thorn,,,https://www.instagram.com/p/BZbKDMIhstU/
610,julianparsonsphoto,Julian Parsons,Instagram,Autumn,19/5/2018,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/Bi9HxvZn_DY/
611,julianparsonsphoto,Julian Parsons,Instagram,Autumn,26/5/2018,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/BjPtglbHqcU/
612,julianparsonsphoto,Julian Parsons,Instagram,Winter,20/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/B1YjiDogMgK/
613,andreagalliph,Andrea Galli,Instagram,Summer,17/2/2018,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,paused,,,https://www.instagram.com/p/BfTVgPol0KL/
614,andreagalliph,Andrea Galli,Instagram,Autumn,26/3/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/Bgxyrhzl1CK/
615,andreagalliph,Andrea Galli,Instagram,Winter,11/8/2018,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,lying on the ground,,,https://www.instagram.com/p/BmVV7mjl_gC/
616,andreagalliph,Andrea Galli,Instagram,Autumn,7/3/2018,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BgBF0WOlW4l/
617,haleyschauv,Haley Kaspar,Instagram,Winter,27/6/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BzOqKz_AqgE/
618,personal.africa,,Instagram,Winter,24/6/2019,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BzE4E8eHTRR/
619,exclusivelinksasia,,Instagram,Winter,24/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,grasses,walking,,,https://www.instagram.com/p/BzErUsXnEfA/
620,deirdreopie,Deirdre Opie,Instagram,Winter,10/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,paused ,,,https://www.instagram.com/p/ByhSK3fA0bi/
621,deirdreopie,Deirdre Opie,Instagram,Winter,23/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/BzEAquGgd4t/
622,selectluxurytravel,,Instagram,Winter,7/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,hiding under a bush,,,https://www.instagram.com/p/ByaqO3aBEP8/
623,sergwiza,Sergiusz Wiza,Instagram,Autumn,7/5/2019,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,,https://www.instagram.com/p/BxKVwZdAb25/
624,samanta.monko,Samanta.Monko,Instagram,Summer,6/12/2018,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,walking,,yes,https://www.instagram.com/p/BrD2BOVo1oR/
625,emmagatlandphotography,Emma Gatland,Instagram,Summer,4/12/2018,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,ground surface,walking,,,https://www.instagram.com/p/Bq85o5cBAHw/
626,gaza_untamed,Gareth Carter,Instagram,Autumn,9/3/2016,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,kalahari sand,curled,,,https://www.instagram.com/p/BCuG6G4y8Dn/
